epoch,train_loss,train_acc1,test_acc1,cls_loss,pca_loss,gl_loss,gan_loss,lr
75,2.07908,94.61263,96.13333,0.4238,0.54155,0.62855,3.42061,0.00013
76,2.08358,94.49056,96.66667,0.42405,0.53828,0.6525,3.42087,0.00013
77,2.08407,94.40104,95.73333,0.42682,0.54042,0.63554,3.42107,0.00013
78,2.08477,94.3278,96.26667,0.42636,0.54748,0.6353,3.42008,0.00013
79,2.07986,94.47428,95.53333,0.42483,0.53818,0.62827,3.42172,0.00013
80,2.09256,94.0918,96.13333,0.43096,0.54087,0.65645,3.42223,0.00013
81,2.09281,94.11621,96.4,0.43141,0.5354,0.66358,3.41957,0.00013
82,2.08521,94.38477,96.33333,0.42787,0.54351,0.63885,3.42028,0.00013
83,2.08769,94.1569,96.33333,0.42965,0.53214,0.64863,3.42137,0.00013
84,2.08042,94.55566,95.33333,0.42192,0.54261,0.64015,3.42348,0.00013
85,2.07641,94.36035,96.4,0.41923,0.54763,0.62891,3.42135,0.00013
86,2.08907,93.96973,96.6,0.43108,0.54664,0.63672,3.42145,0.00013
87,2.08304,94.42546,96.53333,0.42423,0.53948,0.64031,3.42301,0.00013
88,2.08807,94.21387,96.46667,0.4294,0.53894,0.64306,3.42319,0.00013
89,2.08492,94.38477,95.93333,0.42799,0.53176,0.64721,3.42382,0.00013
90,2.06441,94.76725,96.33333,0.41548,0.53219,0.60416,3.42251,0.00013
91,2.08099,94.42546,96.26667,0.42464,0.53805,0.63217,3.4235,0.00013
92,2.07347,94.92188,95.6,0.41814,0.54055,0.62406,3.42419,0.00013
93,2.07694,94.31966,96.6,0.42568,0.53323,0.61112,3.42263,0.00013
94,2.07535,94.67773,96.66667,0.42039,0.53397,0.62687,3.42152,0.00013
95,2.08107,94.55566,96.2,0.42324,0.53717,0.63926,3.42329,1e-05
96,2.08076,94.78353,96.66667,0.42342,0.5319,0.64638,3.42344,1e-05
97,2.07629,94.3278,96.53333,0.42425,0.54244,0.60764,3.42482,1e-05
98,2.07711,94.6696,96.4,0.42216,0.53908,0.62573,3.4232,1e-05
99,2.08486,94.49056,96.2,0.42573,0.53548,0.64142,3.42528,1e-05
100,2.07137,94.64518,95.26667,0.41787,0.54809,0.60747,3.42351,1e-05
101,2.0764,94.5638,96.33333,0.4213,0.54226,0.6282,3.42251,1e-05
102,2.0749,94.76725,96.06667,0.41899,0.53647,0.6295,3.42438,1e-05
103,2.0813,94.31966,96.4,0.42594,0.54416,0.62175,3.42286,1e-05
104,2.07708,94.77539,96.2,0.42042,0.53552,0.63124,3.42372,1e-05
105,2.08234,94.83236,96.73333,0.42384,0.54248,0.63846,3.42367,1e-05
106,2.07748,94.79167,96.2,0.42027,0.54072,0.63252,3.42465,1e-05
107,2.07637,94.62077,95.8,0.42023,0.536,0.63251,3.4235,1e-05
108,2.07939,94.44987,94.93333,0.42334,0.53727,0.62867,3.42596,1e-05
109,2.07911,94.67773,96.33333,0.42077,0.54487,0.63377,3.42349,1e-05
110,2.08309,94.33594,96.46667,0.426,0.54665,0.6321,3.4235,1e-05
111,2.07976,94.54753,96.46667,0.42314,0.55144,0.62138,3.42314,1e-05
112,2.07646,94.74284,96.46667,0.42158,0.53192,0.63314,3.42376,1e-05
113,2.07764,94.27897,96.13333,0.42325,0.52983,0.62497,3.42372,1e-05
114,2.0831,94.62891,96.53333,0.42439,0.54033,0.64399,3.42253,1e-05
115,2.07371,94.82422,96.53333,0.41796,0.5521,0.61427,3.42452,1e-05
116,2.07831,94.84863,96.13333,0.42018,0.55491,0.61712,3.42384,1e-05
117,2.0723,94.88932,96.6,0.41635,0.54483,0.62339,3.42172,1e-05
118,2.08262,94.4987,96.4,0.42575,0.53124,0.63722,3.42306,1e-05
119,2.07959,94.75911,95.4,0.41986,0.5498,0.64092,3.42327,1e-05
